City,Area,Year,Time,Treatment,Time*Treatment,GDP,GDPIncreaseRate,GDPpercapita,GDPPCRate,FAI,SecondaryIndustry,TeritaryIndustry,IS,NOE,RSCG
Shanghai,YRD,2004,0,1,0,8165.38,,45353,,3084.66,3947.01,4134.92,1.047608189,564.3,2656.91
Shanghai,YRD,2005,0,1,0,9365.54,14.7,50282,10.87,3542.55,4451.11,4824.17,1.083812802,612.4,2979.5
Shanghai,YRD,2006,0,1,0,10718.04,14.44,55615,10.61,3925.09,5056.43,5567.8,1.101132617,615.5,3375.2
Shanghai,YRD,2007,0,1,0,12668.29,18.2,62909,13.12,4458.61,5674.34,6891.94,1.214580022,657.8,3873.3
Shanghai,YRD,2008,0,1,0,14276.79,12.7,67916,7.96,4829.45,6207.97,7959.03,1.28206644,682.2,4577.23
Shanghai,YRD,2009,0,1,0,15287.56,7.08,70273,3.47,5273.33,6143.59,9028.17,1.469526775,723.5,5213.11
Shanghai,YRD,2010,0,1,0,17436.85,14.06,77275,9.96,5317.67,7376.81,9942.25,1.34777092,736,6186.58
Shanghai,YRD,2011,1,1,1,19539.07,12.06,84037,8.75,5067.09,8128.44,11280.46,1.387776744,864.6,7185.83
Shanghai,YRD,2012,1,1,1,20558.98,5.22,86969,3.49,5254.38,8063.93,12361.79,1.532973377,948.6,7840.4
Shanghai,YRD,2013,1,1,1,22264.06,8.29,92852,6.76,5647.79,8147.16,13985.61,1.716623952,1045.1,8556.96
Shanghai,YRD,2014,1,1,1,24068.2,8.1,99438,7.09,6016.43,8434.97,15501.64,1.83778247,1149.2,9303.49
Shanghai,YRD,2015,1,1,1,25659.18,6.61,106009,6.61,6352.7,8259.03,17274.62,2.091603978,1223,10131.5
Shanghai,YRD,2016,1,1,1,28183.51,9.84,116582,9.97,6755.88,8406.28,19662.89,2.339071504,1269,10946.57
Shanghai,YRD,2017,1,1,1,30632.99,8.69,126634,8.62,7246.6,9330.67,21191.54,2.271170238,1346.7,11745.96
Shanghai,YRD,2018,1,1,1,32679.87,6.68,135305.25,6.85,,,,,1413.7,
Nanjing,YRD,2004,0,1,0,2087.1,,31557,,1201.88,1014.8,997.03,0.98248916,283.94,863.85
Nanjing,YRD,2005,0,1,0,2478.26,18.74,36499,15.66,1402.72,1213.56,1162.7,0.958090247,316.69,1006.2
Nanjing,YRD,2006,0,1,0,2855.81,15.23,40541,11.07,1613.55,1733.22,1369.04,0.789882415,327.41,
Nanjing,YRD,2007,0,1,0,3381.18,18.4,43306,6.82,1867.96,1628.65,1637.25,1.005280447,367.81,1385.3
Nanjing,YRD,2008,0,1,0,3859.57,14.15,51454,18.81,2154.17,1797.66,1942.51,1.080576972,380.37,1659.6
Nanjing,YRD,2009,0,1,0,4287.25,11.08,56035,8.9,2668.03,1960.6,2197.7,1.120932368,407.7,1935.49
Nanjing,YRD,2010,0,1,0,5198.2,21.25,66132,18.02,3306.05,2363.42,2692.49,1.139234668,441.7,2288.74
Nanjing,YRD,2011,1,1,1,6230.23,19.85,77314,16.91,4010.03,2807.11,3258.82,1.160916387,446.8,2697.1
Nanjing,YRD,2012,1,1,1,7306.54,17.28,89816,16.17,4683.45,3229.67,3891.81,1.20501785,451.8,3103.82
Nanjing,YRD,2013,1,1,1,8199.49,12.22,100307,11.68,5265.55,3527.3,4476.87,1.269205908,452.4,3689.4
Nanjing,YRD,2014,1,1,1,8956.06,9.23,109194,8.86,5460.03,3696.34,5045.46,1.364988069,453,4167.19
Nanjing,YRD,2015,1,1,1,9861.56,10.11,119883,9.79,5484.47,3983.05,5646.11,1.417534302,455,4590.17
Nanjing,YRD,2016,1,1,1,10662.28,8.12,129194,7.77,5533.56,4191.29,6218.45,1.483660162,456,5088.2
Nanjing,YRD,2017,1,1,1,11715.1,9.87,141103,9.22,4312.66,4454.87,6997.22,1.570690054,457.6,5604.66
Nanjing,YRD,2018,1,1,1,12820.4,9.43,152886,8.35,4718.05,4721.61,7825.37,1.657352047,462.6,5832.46
Suzhou,YRD,2004,0,1,0,3365.94,,46619,,1554.8,2235.13,1052.21,0.47076009,358.82,776.88
Suzhou,YRD,2005,0,1,0,4173.48,23.99,56142,20.43,1870.14,2712.03,1379.37,0.50861163,393.72,934.3
Suzhou,YRD,2006,0,1,0,4948.07,18.56,63131,12.45,2106.99,3193.04,1660.23,0.519952772,429.46,1123.6
Suzhou,YRD,2007,0,1,0,5914.31,19.53,69910,10.74,2366.36,3687.52,2121.53,0.575327049,483.4,1370.6
Suzhou,YRD,2008,0,1,0,7163.4,21.12,79825,14.18,2611.16,4331.65,2710.58,0.625761546,495.53,1748.8
Suzhou,YRD,2009,0,1,0,7851.01,9.6,84894,6.35,2967.35,4642.92,3079.08,0.663177483,518.66,2026.8
Suzhou,YRD,2010,0,1,0,9366.47,19.3,94430,11.23,3617.82,5372.73,3852.94,0.717128908,687.5,2402
Suzhou,YRD,2011,1,1,1,10885.92,16.22,103739,9.86,4502.02,6103.77,4621.13,0.757094386,691,2829.58
Suzhou,YRD,2012,1,1,1,12207.81,12.14,115891,11.71,5266.49,6672.74,5358.54,0.803049422,694.3,3240.97
Suzhou,YRD,2013,1,1,1,13191.33,8.06,124872,7.75,6001.94,6955.11,6042.93,0.868847509,695.2,3662.23
Suzhou,YRD,2014,1,1,1,13994.42,6.09,132131,5.81,6230.67,7096.65,6693.79,0.94323237,693.4,4099.83
Suzhou,YRD,2015,1,1,1,14761.36,5.48,139127,5.29,6124.43,7270.33,7275.32,1.000686351,691.4,4461.62
Suzhou,YRD,2016,1,1,1,15748.58,6.69,148129,6.47,5648.49,7462.55,8094.22,1.084645329,691.3,4936.79
Suzhou,YRD,2017,1,1,1,17319.51,9.98,162388,9.63,5629.59,8235.88,8861.65,1.075980952,691.6,5442.82
Suzhou,YRD,2018,1,1,1,18597.47,7.38,173765,7.01,4555.7,8933.28,9450,1.057842136,692.3,5746.9
Zhenjiang,YRD,2004,0,1,0,716.66,,24737,,320.52,460,286,0.62173913,145.05,209.82
Zhenjiang,YRD,2005,0,1,0,888.34,23.96,30319,22.57,404.75,533,309,0.579737336,168.46,241.37
Zhenjiang,YRD,2006,0,1,0,1053.2,18.56,35357,16.62,478.54,631,373,0.591125198,153.18,280.07
Zhenjiang,YRD,2007,0,1,0,1269.58,20.55,42215,19.4,588.02,744,462,0.620967742,157,331.36
Zhenjiang,YRD,2008,0,1,0,1502.86,18.37,49698,17.73,718.5,878,542,0.617312073,165.39,410.2
Zhenjiang,YRD,2009,0,1,0,1693.34,12.67,55428,11.53,1010.57,973,623,0.64028777,173.11,478.01
Zhenjiang,YRD,2010,0,1,0,2019.22,19.24,65305,17.82,1327.08,1120,785,0.700892857,189.3,569.49
Zhenjiang,YRD,2011,1,1,1,2360.68,16.91,75556,15.7,1226.94,1272,938,0.737421384,190.26,675.15
Zhenjiang,YRD,2012,1,1,1,2693.33,14.09,85651,13.36,1500.67,1452.37,1125.19,0.774726826,191.55,781.66
Zhenjiang,YRD,2013,1,1,1,3022.72,12.23,95653,11.68,1653.15,1597.11,1314.42,0.822999042,192.1,891.1
Zhenjiang,YRD,2014,1,1,1,3306.28,9.38,104352,9.09,2142.34,1679.59,1505.24,0.896194905,192.7,1003.8
Zhenjiang,YRD,2015,1,1,1,3561.98,7.73,112225,7.54,2541.07,1778.96,1650.2,0.927620632,193.07,1113.71
Zhenjiang,YRD,2016,1,1,1,3900.08,9.49,122686,9.32,2873.43,1930.29,1832.01,0.949085371,194.34,1236.78
Zhenjiang,YRD,2017,1,1,1,4010.36,2.83,125932,2.65,2694.36,1978.01,1889.92,0.955465341,194.5,1296.7
Zhenjiang,YRD,2018,1,1,1,4050,0.99,126906,0.77,,1967,1935,0.983731571,194.82,1360.92
Changzhou,YRD,2004,0,1,0,1113.38,,32031,,588.61,672.24,386.77,0.575345115,217.42,324.05
Changzhou,YRD,2005,0,1,0,1322.4,18.77,32467,1.36,769.8,812.55,450.32,0.554205895,222.31,444.94
Changzhou,YRD,2006,0,1,0,1603.86,21.28,38256,17.83,951.56,972.15,565.64,0.581844366,225.81,517.83
Changzhou,YRD,2007,0,1,0,1936.93,20.77,44997,17.62,1203.94,1157.24,705.37,0.609527842,233.18,614.41
Changzhou,YRD,2008,0,1,0,2301.51,18.82,52549,16.78,1448.17,1350.25,866.72,0.641895945,242.71,764.06
Changzhou,YRD,2009,0,1,0,2560.88,11.27,57815,10.02,1704.77,1468.37,1000.76,0.681544842,251.56,890.75
Changzhou,YRD,2010,0,1,0,3091.85,20.73,68365,18.25,2103.55,1727.99,1264.08,0.731532011,272,1051.46
Changzhou,YRD,2011,1,1,1,3639.81,17.72,78758,15.2,2223.26,2006.34,1521.69,0.758440743,277.72,1235.58
Changzhou,YRD,2012,1,1,1,4039.83,10.99,86538,9.88,2621.56,2167.8,1745.66,0.805268014,280.99,1409.23
Changzhou,YRD,2013,1,1,1,4527.53,12.07,96547,11.57,2750.12,2347.71,2049.49,0.87297409,280,1597.01
Changzhou,YRD,2014,1,1,1,4991.37,10.24,106329,10.13,3310.05,2494.49,2358.42,0.945451776,281,1805.4
Changzhou,YRD,2015,1,1,1,5371.22,7.61,114308,7.5,3398.97,2611.01,2613.66,1.001014933,281,1990.45
Changzhou,YRD,2016,1,1,1,5875.85,9.4,124889,9.26,3805.08,2750,2973.18,1.081156364,281.4,2202.83
Changzhou,YRD,2017,1,1,1,6618.42,12.64,140435,12.45,3896.3,3098.62,3362.7,1.085225036,281.7,2444.05
